Class Type,Focus,Coach,Time,Date,Day of Week,Grey,Blue,Green,Orange,Red,Splat Points,Avg HR,Max HR,Total Calories,Distance,Avg  Speed,Max Speed,Avg  Pace,Elevation,Notes
3G,,Shannon,5:30 PM,3/26/2021,Friday,2,4,14,28,9,37,152,184,562,1.02,3.5,4.4,17:07:00,249.6,
3G,Strength,Shania,5:30 PM,4/2/2021,Friday,1,3,12,25,18,43,157,189,609,1.01,4.1,6.5,14:42:00,183.2,
3G,Endurance,Shania,6:45 PM,4/5/2021,Monday,3,4,25,19,7,26,148,180,533,1.03,4.3,6,13:59:00,120,
3G,ESP,Paul,6:45 PM,4/12/2021,Monday,3,5,29,18,4,21,145,180,524,0.99,4.1,6.8,14:41:00,52.1,
3G,Power,Paul,5:30 PM,4/23/2021,Friday,1,4,21,21,12,33,152,209,668,0.99,3.8,5.3,15:38:00,213.1,
3G,Strength,Shania,6:45 PM,4/26/2021,Monday,2,3,24,18,10,28,150,183,540,1.08,4.3,6.2,13:53:00,81.5,
3G,Endurance,Paul,5:30 PM,4/30/2021,Friday,3,3,15,21,16,37,154,183,576,1.02,3.9,6.5,15:21:00,206,
3G,Endurance,Shania,6:45 PM,5/3/2021,Monday,4,3,23,22,6,28,155,148,527,1.26,3.8,6.2,15:52:00,216,
3G,ESP,Paul,7:00 AM,5/15/2021,Saturday,2,13,19,20,2,22,142,177,502,0.87,3.7,6.2,16:21:00,134,
3G,ESP,Paul,6:45 PM,5/17/2021,Monday,2,5,23,19,7,26,147,179,518,1.31,4.1,6.2,14:42:00,137.1,
3G,Strength,Paul,6:45 PM,5/20/2021,Thursday,2,11,26,2,11,13,144,192,468,1.4,4.9,6.5,12:21:00,54.9,12 MINUTE RUN
3G,Endurance,Shania,7:00 AM,5/22/2021,Saturday,2,6,22,24,3,27,147,176,530,0.96,3.9,6.5,15:20:00,146.5,
3G,Power,Carl,6:45 PM,5/24/2021,Monday,4,11,20,22,2,24,142,179,505,1.42,4.1,6.2,14:30:00,74.8,
3G,Endurance,Paul,5:30 PM,5/28/2021,Friday,2,2,21,19,8,27,151,183,509,1.34,4.7,6.5,12:43:00,74.4,
3G,Endurance,Bri,8:15 AM,6/5/2021,Saturday,3,5,15,32,4,36,150,181,558,1.02,3.8,6,15:44:00,221.3,
3G,Endurance,Katie,8:15 AM,6/12/2021,Saturday,3,3,14,25,10,35,151,184,532,1.03,4.1,6.8,14:29:00,170.5,
3G,ESP,Paul,6:45 PM,6/15/2021,Tuesday,4,6,25,22,1,23,144,176,524,1.33,4.3,7,13:51:00,70,
3G,Power,Katie,8:15 AM,6/19/2021,Saturday,4,3,13,26,11,37,151,181,554,1.34,4.4,7,13:43:00,70.5,
3G,Strength,Katie,6:45 PM,6/22/2021,Tuesday,2,15,29,10,3,13,140,175,493,0.99,3.7,5,16:00:00,"179,9",
3G,Strength,Shannon,8:15 AM,6/26/2021,Saturday,4,11,26,12,5,17,140,174,487,1.07,3.9,5,15:33:00,160.5,
3G,Strength,Shania,8:15 AM,7/4/2021,Sunday,0,12,25,18,2,20,143,177,506,0.59,3.3,6.1,17:58:00,123.9,
2G,Strength,Paul,6:45 PM,7/8/2021,Thursday,1,11,26,15,2,17,141,175,480,1.43,3.4,6.3,17:24:00,339,
3G,Strength,Shania,8:15 AM,7/10/2021,Saturday,6,17,22,12,1,13,134,170,447,1.01,4.3,6.3,13:48:00,136,
2G,ESP,Brittney,6:45 PM,7/12/2021,Monday,1,10,26,16,3,19,143,178,500,1.75,3.7,6.4,16:00:00,405.4,
2G,Power,Shania,6:45 PM,7/15/2021,Thursday,2,4,25,24,2,26,147,175,522,1.76,3.7,5,16:04:00,408.3,"The ""Chipper"""
3G,Power,Katie,8:15 AM,7/17/2021,Saturday,4,6,24,23,1,24,144,174,508,1.37,4.2,7,14:14:00,71.3,
2G,Power,Shania,6:45 PM,7/22/2021,Thursday,1,6,25,15,9,24,148,185,524,1.77,4.4,6.4,13:40:00,99.6,12 Minute Prep
3G,Power,Shania,8:15 AM,7/24/2021,Saturday,2,7,24,21,4,25,145,175,525,1.04,4,6.5,15:04,136.5,
2G,ESP,Shania,6:45 PM,7/29/2021,Thursday,1,6,42,19,6,25,147,175,517,0.99,4,5,15:03,113.8,
2G,Strength,Bri,7:30 AM,7/31/2021,Saturday,1,14,29,11,1,12,139,178,417,1.52,3.6,5.2,16:30,354.7,
2G,Power,Shania,6:45 PM,8/5/2021,Thursday,1,4,26,22,1,23,148,175,512,0.8,3.5,5.1,17:10,215.4,
2G,Endurance,Paul,7:30 AM,8/7/2021,Saturday,3,7,21,23,2,25,145,173,511,0.97,3.9,5,15:26,204.4,
2G,Strength,Shania,6:45 PM,8/12/2021,Thursday,2,25,21,8,0,8,133,167,436,1.67,3.5,5.7,17:02,525,"This one was tough, but look at that distance"
2G,ESP,Katie,7:30 AM,8/14/2021,Saturday,2,6,29,21,1,22,144,171,527,1.38,3.2,3.5,19:02,477.7,
2G,Power,Katie,7:30 AM,8/21/2021,Saturday,3,8,20,23,3,26,145,180,521,1.49,3.9,6.2,15:28,167.3,
2G,Endurance,Carl,6:45 PM,8/23/2021,Monday,3,8,32,17,0,17,141,166,516,1.79,3.6,6,16:48,351.1,
2G,Strength,Katie,7:30 AM,8/28/2021,Saturday,0,2,27,22,5,27,150,240,541,1.64,3.2,4,18:35,457.2,Heartrate monitor must have malfictioned
2G,ESP,Katie,6:45 PM,8/30/2021,Monday,1,10,37,8,1,9,140,175,489,1.05,3.4,6.5,17:25,154.3,Hard class - Tempo Tiplet
2G,Endurance,Carl,7:30 AM,9/4/2021,Saturday,0,9,27,22,1,23,146,169,537,1.16,3.8,5.1,15:37,100.3,
2G,ESP,Paul,7:30 AM,9/11/2021,Saturday,1,0,17,30,7,37,159,240,583,1.84,3.8,6.2,15:53,253.2,Heartrate monitor must have malfictioned
3G,Power,Katie,7:30 AM,9/18/2021,Saturday,4,3,16,30,5,35,149,190,537,0.92,3.6,5.5,16:33,168.8,
3G,Endurance,Katie,6:45 PM,9/20/2021,Monday,6,11,25,11,4,15,136,176,474,1.07,4.1,6,14:41,56.4,
3G,ESP,Paul,6:45 PM,9/27/2021,Monday,2,5,19,18,12,30,153,192,545,1.1,5,6.5,12:06,53.9,Mile Benchmark -- PR 11:22
3G,Strength,Shania,6:45 PM,9/29/2021,Wednesday,2,13,22,17,2,19,141,177,491,1.3,3.6,5.4,16:46,294.7,
3G,Strength,Paul,3:00 PM,12/10/2021,Friday,1,4,13,28,11,39,154,177,563,0.77,3.2,5,18:29,157.6,Return after 60 day freeze
